Model,Test_Size,Param_Name,Param_Value,Accuracy,TN,FP,FN,TP
LogisticRegression,0.2,-,-,0.9206896551724137,278,24,22,256
CustomTree,0.2,max_depth,5,0.9293103448275862,278,24,17,261
CustomTree,0.2,max_depth,10,0.9103448275862069,274,28,24,254
CustomTree,0.2,max_depth,20,0.8793103448275862,261,41,29,249
SklearnTree,0.2,max_depth,5,0.9293103448275862,278,24,17,261
SklearnTree,0.2,max_depth,10,0.9,276,26,32,246
SklearnTree,0.2,max_depth,20,0.8758620689655172,262,40,32,246
RandomForrest,0.2,max_depth,5,0.9293103448275862,278,24,17,261
RandomForrest,0.2,max_depth,10,0.9241379310344827,278,24,20,258
RandomForrest,0.2,max_depth,20,0.9155172413793103,278,24,25,253
MLP,0.2,param,"layers:(5,)_iters:500",0.9293103448275862,278,24,17,261
MLP,0.2,param,"layers:(10, 5)_iters:500",0.9293103448275862,278,24,17,261
MLP,0.2,param,"layers:(5,)_iters:1000",0.9293103448275862,278,24,17,261
MLP,0.2,param,"layers:(10, 5)_iters:1000",0.9293103448275862,278,24,17,261
LogisticRegression,0.3,-,-,0.9195402298850575,427,36,34,373
CustomTree,0.3,max_depth,5,0.9264367816091954,427,36,28,379
CustomTree,0.3,max_depth,10,0.906896551724138,425,38,43,364
CustomTree,0.3,max_depth,20,0.8586206896551725,400,63,60,347
SklearnTree,0.3,max_depth,5,0.9264367816091954,427,36,28,379
SklearnTree,0.3,max_depth,10,0.8942528735632184,419,44,48,359
SklearnTree,0.3,max_depth,20,0.8482758620689655,390,73,59,348
RandomForrest,0.3,max_depth,5,0.9264367816091954,427,36,28,379
RandomForrest,0.3,max_depth,10,0.9218390804597701,426,37,31,376
RandomForrest,0.3,max_depth,20,0.903448275862069,426,37,47,360
MLP,0.3,param,"layers:(5,)_iters:500",0.9264367816091954,427,36,28,379
MLP,0.3,param,"layers:(10, 5)_iters:500",0.9264367816091954,427,36,28,379
MLP,0.3,param,"layers:(5,)_iters:1000",0.9264367816091954,427,36,28,379
MLP,0.3,param,"layers:(10, 5)_iters:1000",0.9264367816091954,427,36,28,379
LogisticRegression,0.5,-,-,0.9151724137931034,690,64,59,637
CustomTree,0.5,max_depth,5,0.9227586206896552,690,64,48,648
CustomTree,0.5,max_depth,10,0.903448275862069,686,68,72,624
CustomTree,0.5,max_depth,20,0.8772413793103448,662,92,86,610
SklearnTree,0.5,max_depth,5,0.923448275862069,690,64,47,649
SklearnTree,0.5,max_depth,10,0.8937931034482759,665,89,65,631
SklearnTree,0.5,max_depth,20,0.876551724137931,659,95,84,612
RandomForrest,0.5,max_depth,5,0.923448275862069,690,64,47,649
RandomForrest,0.5,max_depth,10,0.9179310344827586,687,67,52,644
RandomForrest,0.5,max_depth,20,0.906896551724138,685,69,66,630
MLP,0.5,param,"layers:(5,)_iters:500",0.9227586206896552,690,64,48,648
MLP,0.5,param,"layers:(10, 5)_iters:500",0.9227586206896552,690,64,48,648
MLP,0.5,param,"layers:(5,)_iters:1000",0.9227586206896552,690,64,48,648
MLP,0.5,param,"layers:(10, 5)_iters:1000",0.9227586206896552,690,64,48,648
